State,District,Crop,Season,Area_hectares,Rainfall_mm,Temperature_C,Soil_Moisture_%,Fertilizer_kg,Pesticide_kg,Yield_ton_per_hectare
Maharashtra,Solapur,Cotton,Winter,10.66,1610.56,31.03,57.41,276.27,31.53,4.0
Maharashtra,Beed,Sugarcane,Summer,17.43,1251.88,24.28,50.03,260.75,38.5,76.58
Maharashtra,Latur,Wheat,Winter,5.28,1109.57,23.09,81.28,29.8,26.62,3.38
Maharashtra,Amravati,Rice,Summer,3.57,623.03,34.39,55.94,240.46,35.8,4.14
Maharashtra,Satara,Bajra,Winter,3.63,488.35,35.6,32.21,135.18,46.89,1.98
Maharashtra,Ratnagiri,Maize,Summer,7.01,564.71,28.51,66.24,264.64,20.04,4.12
Maharashtra,Solapur,Bajra,Monsoon,5.15,718.3,22.89,75.1,198.63,35.99,2.3
Maharashtra,Buldhana,Soybean,Summer,18.64,878.34,20.26,25.19,253.42,24.83,2.44
Maharashtra,Amravati,Rice,Summer,2.56,933.27,19.74,80.83,159.84,34.37,4.06
Maharashtra,Amravati,Bajra,Summer,14.13,884.85,32.38,37.09,169.81,38.62,2.59
Maharashtra,Ratnagiri,Bajra,Summer,4.19,734.68,26.4,60.88,60.43,4.18,2.23
Maharashtra,Nagpur,Tur,Winter,17.69,1113.61,36.11,52.03,239.52,33.04,2.61
Maharashtra,Satara,Cotton,Monsoon,19.25,1555.4,32.79,71.78,137.43,12.88,3.36
Maharashtra,Nashik,Tur,Summer,9.58,791.58,21.83,49.13,160.02,34.16,1.65
Maharashtra,Sindhudurg,Rice,Winter,17.64,1719.34,30.28,81.53,239.83,24.48,4.76
Maharashtra,Ratnagiri,Rice,Monsoon,0.6,1622.67,26.71,72.48,187.68,39.13,4.82
Maharashtra,Pune,Sugarcane,Monsoon,16.49,626.47,29.54,67.1,76.31,7.92,76.04
Maharashtra,Akola,Tur,Monsoon,4.96,1500.79,32.76,76.76,185.27,32.06,2.89
